ALLS WELL THAT ENDS WELL	COUNTESS	In delivering my son from me, I bury a second husband.
ALLS WELL THAT ENDS WELL	BERTRAM	And I in going, madam, weep o'er my father's death anew; but I must attend his Majesty's command, to whom I am now in ward, evermore in subjection.
ALLS WELL THAT ENDS WELL	LAFEU	You shall find of the King a husband, madam; you, sir, a father. He that so generally is at all times good must of necessity hold his virtue to you, whose worthiness would stir it up where it wanted, rather than lack it where there is such abundance.
ALLS WELL THAT ENDS WELL	COUNTESS	What hope is there of his Majesty's amendment?
ALLS WELL THAT ENDS WELL	LAFEU	He hath abandon'd his physicians, madam; under whose practices he hath persecuted time with hope, and finds no other advantage in the process but only the losing of hope by time.
ALLS WELL THAT ENDS WELL	COUNTESS	This young gentlewoman had a father- O, that 'had,' how sad a passage 'tis!-whose skill was almost as great as his honesty; had it stretch'd so far, would have made nature immortal, and death should have play for lack of work. Would, for the King's sake, he were living! I think it would be the death of the King's disease.
ALLS WELL THAT ENDS WELL	LAFEU	How call'd you the man you speak of, madam?
ALLS WELL THAT ENDS WELL	COUNTESS	He was famous, sir, in his profession, and it was his great right to be so- Gerard de Narbon.
ALLS WELL THAT ENDS WELL	LAFEU	He was excellent indeed, madam; the King very lately spoke of him admiringly and mourningly; he was skilful enough to have liv'd still, if knowledge could be set up against mortality.
ALLS WELL THAT ENDS WELL	BERTRAM	What is it, my good lord, the King languishes of?
ALLS WELL THAT ENDS WELL	LAFEU	A fistula, my lord.
ALLS WELL THAT ENDS WELL	BERTRAM	I heard not of it before.
ALLS WELL THAT ENDS WELL	LAFEU	I would it were not notorious. Was this gentlewoman the daughter of Gerard de Narbon?
ALLS WELL THAT ENDS WELL	COUNTESS	His sole child, my lord, and bequeathed to my overlooking. I have those hopes of her good that her education promises; her dispositions she inherits, which makes fair gifts fairer; for where an unclean mind carries virtuous qualities, there commendations go with pity-they are virtues and traitors too. In her they are the better for their simpleness; she derives her honesty, and achieves her goodness.
ALLS WELL THAT ENDS WELL	LAFEU	Your commendations, madam, get from her tears.
ALLS WELL THAT ENDS WELL	HELENA	I do affect a sorrow indeed, but I have it too.
ALLS WELL THAT ENDS WELL	LAFEU	Moderate lamentation is the right of the dead: excessive grief the enemy to the living.
ALLS WELL THAT ENDS WELL	COUNTESS	If the living be enemy to the grief, the excess makes it soon mortal.
ALLS WELL THAT ENDS WELL	BERTRAM	Madam, I desire your holy wishes.
ALLS WELL THAT ENDS WELL	LAFEU	How understand we that?
ALLS WELL THAT ENDS WELL	COUNTESS	Heaven bless him! Farewell, Bertram.            Exit
ALLS WELL THAT ENDS WELL	BERTRAM	The best wishes that can be forg'd in your thoughts be servants to you!  [To HELENA]  Be comfortable to my mother, your mistress, and make much of her.
ALLS WELL THAT ENDS WELL	LAFEU	Farewell, pretty lady; you must hold the credit of your father.                             Exeunt BERTRAM and LAFEU
ALLS WELL THAT ENDS WELL	PAROLLES	Save you, fair queen!
ALLS WELL THAT ENDS WELL	HELENA	And you, monarch!
ALLS WELL THAT ENDS WELL	PAROLLES	No.
ALLS WELL THAT ENDS WELL	HELENA	And no.
ALLS WELL THAT ENDS WELL	PAROLLES	Are you meditating on virginity?
ALLS WELL THAT ENDS WELL	HELENA	Ay. You have some stain of soldier in you; let me ask you a question. Man is enemy to virginity; how may we barricado it against him?
ALLS WELL THAT ENDS WELL	PAROLLES	Keep him out.
ALLS WELL THAT ENDS WELL	HELENA	But he assails; and our virginity, though valiant in the defence, yet is weak. Unfold to us some warlike resistance.
ALLS WELL THAT ENDS WELL	PAROLLES	There is none. Man, setting down before you, will undermine you and blow you up.
ALLS WELL THAT ENDS WELL	HELENA	I will stand for 't a little, though therefore I die a virgin.
ALLS WELL THAT ENDS WELL	HELENA	How might one do, sir, to lose it to her own liking?
ALLS WELL THAT ENDS WELL	PAROLLES	What one, i' faith?
ALLS WELL THAT ENDS WELL	HELENA	That I wish well. 'Tis pity-
ALLS WELL THAT ENDS WELL	PAROLLES	What's pity?
ALLS WELL THAT ENDS WELL	PAGE	Monsieur Parolles, my lord calls for you.      Exit PAGE
ALLS WELL THAT ENDS WELL	PAROLLES	Little Helen, farewell; if I can remember thee, I will think of thee at court.
ALLS WELL THAT ENDS WELL	HELENA	Monsieur Parolles, you were born under a charitable star.
ALLS WELL THAT ENDS WELL	PAROLLES	Under Mars, I.
ALLS WELL THAT ENDS WELL	HELENA	I especially think, under Mars.
ALLS WELL THAT ENDS WELL	PAROLLES	Why under Man?
ALLS WELL THAT ENDS WELL	HELENA	The wars hath so kept you under that you must needs be born under Mars.
ALLS WELL THAT ENDS WELL	PAROLLES	When he was predominant.
ALLS WELL THAT ENDS WELL	HELENA	When he was retrograde, I think, rather.
ALLS WELL THAT ENDS WELL	PAROLLES	Why think you so?
ALLS WELL THAT ENDS WELL	HELENA	You go so much backward when you fight.
